_dim1_member,_dim2_member,_dim3_member,_dim4_member,_dim_5_member,_value,_etl_id
Saruman,Bag End,No Ring,TA 3020,Maia,8720,
Saruman,Buckleberry Ferry,No Ring,TA 3020,Maia,8730,
Saruman,Bree,No Ring,TA 3020,Maia,8740,
Saruman,Dead Marshes,No Ring,TA 3020,Maia,8750,
Saruman,Moria,No Ring,TA 3020,Maia,8760,
Saruman,Barad-dur,No Ring,TA 3020,Maia,8770,
Saruman,Mount Doom,No Ring,TA 3020,Maia,8780,
Saruman,Minas Morgul,No Ring,TA 3020,Maia,8790,
Saruman,Lothlorien,No Ring,TA 3020,Maia,8800,
Saruman,Minas Tirith,No Ring,TA 3020,Maia,8810,
Saruman,Pelennor Fields,No Ring,TA 3020,Maia,8820,
Saruman,Gladden Fields,No Ring,TA 3020,Maia,8830,
Saruman,Fangorn Forest,No Ring,TA 3020,Maia,8840,
Saruman,Rivendell,No Ring,TA 3020,Maia,8850,
Saruman,Isengard,No Ring,TA 3021,Maia,8860,
Saruman,Edoras,No Ring,TA 3021,Maia,8870,
Saruman,Helms Deep,No Ring,TA 3021,Maia,8880,
Saruman,Hornburg,No Ring,TA 3021,Maia,8890,
Saruman,Westfold,No Ring,TA 3021,Maia,8900,
Saruman,Hobbiton,No Ring,TA 3021,Maia,8910,
Saruman,Bag End,No Ring,TA 3021,Maia,8920,
Saruman,Buckleberry Ferry,No Ring,TA 3021,Maia,8930,
Saruman,Bree,No Ring,TA 3021,Maia,8940,
Saruman,Dead Marshes,No Ring,TA 3021,Maia,8950,
Saruman,Moria,No Ring,TA 3021,Maia,8960,
Saruman,Barad-dur,No Ring,TA 3021,Maia,8970,
Saruman,Mount Doom,No Ring,TA 3021,Maia,8980,
Saruman,Minas Morgul,No Ring,TA 3021,Maia,8990,
Saruman,Lothlorien,No Ring,TA 3021,Maia,9000,
Saruman,Minas Tirith,No Ring,TA 3021,Maia,9010,
Saruman,Pelennor Fields,No Ring,TA 3021,Maia,9020,
Saruman,Gladden Fields,No Ring,TA 3021,Maia,9030,
Saruman,Fangorn Forest,No Ring,TA 3021,Maia,9040,
Saruman,Rivendell,No Ring,TA 3021,Maia,9050,
Tom Bombadil,Isengard,No Ring,TA 3018,Unmapped,9060,
Tom Bombadil,Edoras,No Ring,TA 3018,Unmapped,9070,
Tom Bombadil,Helms Deep,No Ring,TA 3018,Unmapped,9080,
Tom Bombadil,Hornburg,No Ring,TA 3018,Unmapped,9090,
Tom Bombadil,Westfold,No Ring,TA 3018,Unmapped,9100,
Tom Bombadil,Hobbiton,No Ring,TA 3018,Unmapped,9110,
Tom Bombadil,Bag End,No Ring,TA 3018,Unmapped,9120,
Tom Bombadil,Buckleberry Ferry,No Ring,TA 3018,Unmapped,9130,
Tom Bombadil,Bree,No Ring,TA 3018,Unmapped,9140,
Tom Bombadil,Dead Marshes,No Ring,TA 3018,Unmapped,9150,
Tom Bombadil,Moria,No Ring,TA 3018,Unmapped,9160,
Tom Bombadil,Barad-dur,No Ring,TA 3018,Unmapped,9170,
Tom Bombadil,Mount Doom,No Ring,TA 3018,Unmapped,9180,
Tom Bombadil,Minas Morgul,No Ring,TA 3018,Unmapped,9190,
Tom Bombadil,Lothlorien,No Ring,TA 3018,Unmapped,9200,
Tom Bombadil,Minas Tirith,No Ring,TA 3018,Unmapped,9210,
Tom Bombadil,Pelennor Fields,No Ring,TA 3018,Unmapped,9220,
Tom Bombadil,Gladden Fields,No Ring,TA 3018,Unmapped,9230,
Tom Bombadil,Fangorn Forest,No Ring,TA 3018,Unmapped,9240,
Tom Bombadil,Rivendell,No Ring,TA 3018,Unmapped,9250,
Tom Bombadil,Isengard,No Ring,TA 3019,Unmapped,9260,
Tom Bombadil,Edoras,No Ring,TA 3019,Unmapped,9270,
Tom Bombadil,Helms Deep,No Ring,TA 3019,Unmapped,9280,
Tom Bombadil,Hornburg,No Ring,TA 3019,Unmapped,9290,
Tom Bombadil,Westfold,No Ring,TA 3019,Unmapped,9300,
Tom Bombadil,Hobbiton,No Ring,TA 3019,Unmapped,9310,
Tom Bombadil,Bag End,No Ring,TA 3019,Unmapped,9320,
Tom Bombadil,Buckleberry Ferry,No Ring,TA 3019,Unmapped,9330,
Tom Bombadil,Bree,No Ring,TA 3019,Unmapped,9340,
Tom Bombadil,Dead Marshes,No Ring,TA 3019,Unmapped,9350,
Tom Bombadil,Moria,No Ring,TA 3019,Unmapped,9360,
Tom Bombadil,Barad-dur,No Ring,TA 3019,Unmapped,9370,
Tom Bombadil,Mount Doom,No Ring,TA 3019,Unmapped,9380,
Tom Bombadil,Minas Morgul,No Ring,TA 3019,Unmapped,9390,
Tom Bombadil,Lothlorien,No Ring,TA 3019,Unmapped,9400,
Tom Bombadil,Minas Tirith,No Ring,TA 3019,Unmapped,9410,
Tom Bombadil,Pelennor Fields,No Ring,TA 3019,Unmapped,9420,
Tom Bombadil,Gladden Fields,No Ring,TA 3019,Unmapped,9430,
Tom Bombadil,Fangorn Forest,No Ring,TA 3019,Unmapped,9440,
Tom Bombadil,Rivendell,No Ring,TA 3019,Unmapped,9450,
Tom Bombadil,Isengard,No Ring,TA 3020,Unmapped,9460,
Tom Bombadil,Edoras,No Ring,TA 3020,Unmapped,9470,
Tom Bombadil,Helms Deep,No Ring,TA 3020,Unmapped,9480,
Tom Bombadil,Hornburg,No Ring,TA 3020,Unmapped,9490,
Tom Bombadil,Westfold,No Ring,TA 3020,Unmapped,9500,
Tom Bombadil,Hobbiton,No Ring,TA 3020,Unmapped,9510,
Tom Bombadil,Bag End,No Ring,TA 3020,Unmapped,9520,
Tom Bombadil,Buckleberry Ferry,No Ring,TA 3020,Unmapped,9530,
Tom Bombadil,Bree,No Ring,TA 3020,Unmapped,9540,
Tom Bombadil,Dead Marshes,No Ring,TA 3020,Unmapped,9550,
Tom Bombadil,Moria,No Ring,TA 3020,Unmapped,9560,
Tom Bombadil,Barad-dur,No Ring,TA 3020,Unmapped,9570,
Tom Bombadil,Mount Doom,No Ring,TA 3020,Unmapped,9580,
Tom Bombadil,Minas Morgul,No Ring,TA 3020,Unmapped,9590,
Tom Bombadil,Lothlorien,No Ring,TA 3020,Unmapped,9600,
Tom Bombadil,Minas Tirith,No Ring,TA 3020,Unmapped,9610,
Tom Bombadil,Pelennor Fields,No Ring,TA 3020,Unmapped,9620,
Tom Bombadil,Gladden Fields,No Ring,TA 3020,Unmapped,9630,
Tom Bombadil,Fangorn Forest,No Ring,TA 3020,Unmapped,9640,
Tom Bombadil,Rivendell,No Ring,TA 3020,Unmapped,9650,
Tom Bombadil,Isengard,No Ring,TA 3021,Unmapped,9660,
Tom Bombadil,Edoras,No Ring,TA 3021,Unmapped,9670,
Tom Bombadil,Helms Deep,No Ring,TA 3021,Unmapped,9680,
Tom Bombadil,Hornburg,No Ring,TA 3021,Unmapped,9690,
Tom Bombadil,Westfold,No Ring,TA 3021,Unmapped,9700,
Tom Bombadil,Hobbiton,No Ring,TA 3021,Unmapped,9710,
Tom Bombadil,Bag End,No Ring,TA 3021,Unmapped,9720,
Tom Bombadil,Buckleberry Ferry,No Ring,TA 3021,Unmapped,9730,
Tom Bombadil,Bree,No Ring,TA 3021,Unmapped,9740,
Tom Bombadil,Dead Marshes,No Ring,TA 3021,Unmapped,9750,
Tom Bombadil,Moria,No Ring,TA 3021,Unmapped,9760,
Tom Bombadil,Barad-dur,No Ring,TA 3021,Unmapped,9770,
Tom Bombadil,Mount Doom,No Ring,TA 3021,Unmapped,9780,
Tom Bombadil,Minas Morgul,No Ring,TA 3021,Unmapped,9790,
Tom Bombadil,Lothlorien,No Ring,TA 3021,Unmapped,9800,
Tom Bombadil,Minas Tirith,No Ring,TA 3021,Unmapped,9810,
Tom Bombadil,Pelennor Fields,No Ring,TA 3021,Unmapped,9820,
Tom Bombadil,Gladden Fields,No Ring,TA 3021,Unmapped,9830,
Tom Bombadil,Fangorn Forest,No Ring,TA 3021,Unmapped,9840,
Tom Bombadil,Rivendell,No Ring,TA 3021,Unmapped,9850,
Unmapped,Unmapped,Narya,TA 3018,Elf,9860,
Unmapped,Unmapped,Vilya,TA 3018,Elf,9870,
Unmapped,Unmapped,Narya,TA 3019,Elf,9880,
Unmapped,Unmapped,Vilya,TA 3019,Elf,9890,
Unmapped,Unmapped,Narya,TA 3020,Elf,9900,
Unmapped,Unmapped,Vilya,TA 3020,Elf,9910,
Unmapped,Unmapped,Narya,TA 3021,Elf,9920,
Unmapped,Unmapped,Vilya,TA 3021,Elf,9930,
Unmapped,Unmapped,Dwarf Ring 1,TA 3021,Dwarf,9940,
Unmapped,Unmapped,Dwarf Ring 2,TA 3021,Dwarf,9950,
Unmapped,Unmapped,Dwarf Ring 3,TA 3021,Dwarf,9960,
Unmapped,Unmapped,Dwarf Ring 4,TA 3021,Dwarf,9970,
Unmapped,Unmapped,Dwarf Ring 5,TA 3021,Dwarf,9980,
Unmapped,Unmapped,Dwarf Ring 6,TA 3021,Dwarf,9990,
Unmapped,Unmapped,Dwarf Ring 7,TA 3021,Dwarf,10000,
Unmapped,Unmapped,Dwarf Ring 8,TA 3021,Dwarf,10010,
Unmapped,Unmapped,Dwarf Ring 9,TA 3021,Dwarf,10020,
Unmapped,Unmapped,Nazgul Ring 1,TA 3021,Unmapped,10030,
Unmapped,Unmapped,Nazgul Ring 2,TA 3021,Unmapped,10040,
Unmapped,Unmapped,Nazgul Ring 3,TA 3021,Unmapped,10050,
Unmapped,Unmapped,Nazgul Ring 4,TA 3021,Unmapped,10060,
Unmapped,Unmapped,Nazgul Ring 5,TA 3021,Unmapped,10070,
Unmapped,Unmapped,Nazgul Ring 6,TA 3021,Unmapped,10080,
Unmapped,Unmapped,Nazgul Ring 7,TA 3021,Unmapped,10090,
Unmapped,Unmapped,Nazgul Ring 8,TA 3021,Unmapped,10100,
Unmapped,Unmapped,Nazgul Ring 9,TA 3021,Unmapped,10110,
